arabic,dutch
أَبٌ,vader
أُمٌّ,moeder
أَخٌ,broer
أُخْتٌ,zus
جَدٌّ,grootvader
جَدَّةٌ,grootmoeder
عَمٌّ,oom (vaderszijde)
عَمَّةٌ,tante (vaderszijde)
خَالٌ,oom (moederszijde)
خَالَةٌ,tante (moederszijde)
اِبْنٌ,zoon
بِنْتٌ,dochter
حَفِيدٌ,kleinzoon
حَفِيدَةٌ,kleindochter
زَوْجٌ,echtgenoot
زَوْجَةٌ,echtgenote
وَالِدٌ,vader
وَالِدَةٌ,moeder
أَوْلاَدٌ,kinderen
عَائِلَةٌ,familie
أُسْرَةٌ,gezin
قَرِيبٌ,familielid
أَقَارِبُ,familieleden
صَدِيقٌ,vriend
صَدِيقَةٌ,vriendin
خُبْزٌ,brood
مَاءٌ,water
حَلِيبٌ,melk
قَهْوَةٌ,koffie
شَايٌ,thee
عَصِيرٌ,sap
لَحْمٌ,vlees
دَجَاجٌ,kip
سَمَكٌ,vis
أَرُزٌّ,rijst
مَكَرُونَةٌ,pasta
خُضْرَوَاتٌ,groenten
فَوَاكِهُ,fruit
تُفَّاحٌ,appel
مَوْزٌ,banaan
بُرْتُقَالٌ,sinaasappel
عِنَبٌ,druiven
بَطَاطَا,aardappel
طَمَاطِمُ,tomaat
خِيَارٌ,komkommer
جَزَرٌ,wortel
بَصَلٌ,ui
ثُومٌ,knoflook
فُلْفُلٌ,peper
مِلْحٌ,zout
سُكَّرٌ,suiker
زُبْدَةٌ,boter
جُبْنٌ,kaas
بَيْضٌ,eieren
كَعْكٌ,cake
بِسْكُوِيتٌ,koekjes
شُوكُولاَتَةٌ,chocolade
آيْس كْرِيمٌ,ijs
طَعَامٌ,eten
فُطُورٌ,ontbijt
غَدَاءٌ,lunch
عَشَاءٌ,avondeten
وَجْبَةٌ,maaltijd
بَيْتٌ,huis
غُرْفَةٌ,kamer
غُرْفَةُ نَوْمٍ,slaapkamer
حَمَّامٌ,badkamer
مَطْبَخٌ,keuken
صَالُونٌ,woonkamer
بَابٌ,deur
نَافِذَةٌ,raam
سَقْفٌ,plafond
أَرْضِيَّةٌ,vloer
جِدَارٌ,muur
سُلَّمٌ,trap
شُرْفَةٌ,balkon
حَدِيقَةٌ,tuin
سَرِيرٌ,bed
كُرْسِيٌّ,stoel
طَاوِلَةٌ,tafel
خِزَانَةٌ,kast
أَرِيكَةٌ,bank
مِرْآةٌ,spiegel
سَاعَةٌ,klok
مِصْبَاحٌ,lamp
سِجَّادَةٌ,tapijt
وِسَادَةٌ,kussen
بَطَّانِيَّةٌ,deken
تِلْفَازٌ,televisie
حَاسُوبٌ,computer
هَاتِفٌ,telefoon
ثَلاَّجَةٌ,koelkast
فُرْنٌ,oven
غَسَّالَةٌ,wasmachine
مِكْوَاةٌ,strijkijzer
كُرَةُ قَدَمٍ,voetbal
كُرَةُ سَلَّةٍ,basketbal
كُرَةٌ طَائِرَةٌ,volleybal
تِنِسٌ,tennis
سِبَاحَةٌ,zwemmen
رِيَاضَةٌ,sport
لاَعِبٌ,speler
مَلْعَبٌ,veld
كُرَةٌ,bal
هَدَفٌ,doel
فَرِيقٌ,team
مُبَارَاةٌ,wedstrijd
فَوْزٌ,winst
خَسَارَةٌ,verlies
رُكُوبُ الدَّرَّاجَةِ,fietsen
جَرْيٌ,rennen
رُكْبَةٌ,knie
قَدَمٌ,voet
يَدٌ,hand
جِمْنَازِيُومٌ,sportschool
تَدْرِيبٌ,training
مُدَرِّبٌ,coach
بَطَلٌ,kampioen
مِيدَالِيَّةٌ,medaille
طَبِيبٌ,arts
مُمَرِّضَةٌ,verpleegster
مُهَنْدِسٌ,ingenieur
مُعَلِّمٌ,leraar
مُعَلِّمَةٌ,lerares
طَالِبٌ,student
طَالِبَةٌ,studente
طَبَّاخٌ,kok
نَادِلٌ,ober
نَادِلَةٌ,serveerster
سَائِقٌ,chauffeur
شُرْطِيٌّ,politieagent
رَجُلُ إِطْفَاءٍ,brandweerman
مُحَامٍ,advocaat
قَاضٍ,rechter
صَحَفِيٌّ,journalist
كَاتِبٌ,schrijver
فَنَّانٌ,kunstenaar
مُوسِيقِيٌّ,muzikant
رَسَّامٌ,schilder
مُصَوِّرٌ,fotograaf
مُبَرْمِجٌ,programmeur
عَالِمٌ,wetenschapper
بَائِعٌ,verkoper
بَائِعَةٌ,verkoopster
مُحَاسِبٌ,accountant
مُدِيرٌ,manager
مُوَظَّفٌ,werknemer
عَامِلٌ,arbeider
نَجَّارٌ,timmerman
كَهْرَبَائِيٌّ,elektricien
سَبَّاكٌ,loodgieter
حَلاَّقٌ,kapper
مُزَارِعٌ,boer
قِطٌّ,kat
قِطَّةٌ,kat (vrouwelijk)
كَلْبٌ,hond
كَلْبَةٌ,hond (vrouwelijk)
حِصَانٌ,paard
بَقَرَةٌ,koe
خَرُوفٌ,schaap
مَاعِزٌ,geit
حِمَارٌ,ezel
جَمَلٌ,kameel
فِيلٌ,olifant
أَسَدٌ,leeuw
نَمِرٌ,tijger
دُبٌّ,beer
ذِئْبٌ,wolf
ثَعْلَبٌ,vos
أَرْنَبٌ,konijn
فَأْرٌ,muis
جُرَذٌ,rat
قِرْدٌ,aap
زَرَافَةٌ,giraf
فَرَسُ النَّهْرِ,nijlpaard
وَحِيدُ القَرْنِ,neushoorn
غُزَالٌ,hert
طَائِرٌ,vogel
بَطَّةٌ,eend
دَجَاجَةٌ,kip
دِيكٌ,haan
حَمَامَةٌ,duif
بَبَّغَاءُ,papegaai
نَسْرٌ,adelaar
بُومَةٌ,uil
عُصْفُورٌ,mus
غُرَابٌ,kraai
سَمَكَةٌ,vis
دُولْفِينٌ,dolfijn
قِرْشٌ,haai
حُوتٌ,walvis
أَخْطَبُوطٌ,octopus
سُلَحْفَاةٌ,schildpad
ثُعْبَانٌ,slang
تِمْسَاحٌ,krokodil
ضِفْدَعٌ,kikker
فَرَاشَةٌ,vlinder
نَحْلَةٌ,bij
نَمْلَةٌ,mier
عَنْكَبُوتٌ,spin
حَيَوَانٌ,dier
حَيَوَانَاتٌ,dieren
حَيَوَانٌ أَلِيفٌ,huisdier
حَيَوَانٌ بَرِّيٌّ,wild dier
